label,strain,virus,accession,sampling_date,adm2,adm1,adm0,authors
EBOV|MAN020|MK007334|DRC|Ituri|2018-08-13,MAN020,EBOV,MK007334,2018-08-13,Mandima,Ituri,COD,Mbala et al.
EBOV|MAN025|MK007335|DRC|Ituri|2018-08-13,MAN025,EBOV,MK007335,2018-08-13,Mandima,Ituri,COD,Mbala et al.
EBOV|MAN028|MK007336|DRC|Nord-Kivu|2018-08-13,MAN028,EBOV,MK007336,2018-08-13,Unknown,Nord-Kivu,COD,Mbala et al.
EBOV|MAN035|MK088510|DRC|Nord-Kivu|Unknown,MAN035,EBOV,MK088510,Unknown,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN036|MK007337|DRC|Nord-Kivu|2018-08-14,MAN036,EBOV,MK007337,2018-08-14,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN037|MK007338|DRC|Ituri|2018-08-14,MAN037,EBOV,MK007338,2018-08-14,Mandima,Ituri,COD,Mbala et al.
EBOV|MAN039|MK007339|DRC|Nord-Kivu|2018-08-14,MAN039,EBOV,MK007339,2018-08-14,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN040|MK007340|DRC|Nord-Kivu|2018-08-14,MAN040,EBOV,MK007340,2018-08-14,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN042|MK007341|DRC|Nord-Kivu|2018-08-14,MAN042,EBOV,MK007341,2018-08-14,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN046|MK007342|DRC|Nord-Kivu|2018-08-15,MAN046,EBOV,MK007342,2018-08-15,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN048|MK007343|DRC|Ituri|2018-08-15,MAN048,EBOV,MK007343,2018-08-15,Mandima,Ituri,COD,Mbala et al.
EBOV|MAN059||DRC|Unknown|Unknown,MAN059,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
EBOV|MAN065|MK007344|DRC|Ituri|2018-08-16,MAN065,EBOV,MK007344,2018-08-16,Mandima,Ituri,COD,Mbala et al.
EBOV|MAN1011||DRC|Nord-Kivu|2018-12-07,MAN1011,EBOV,,2018-12-07,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN1016||DRC|Nord-Kivu|2018-12-08,MAN1016,EBOV,,2018-12-08,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN1038||DRC|Nord-Kivu|2018-12-10,MAN1038,EBOV,,2018-12-10,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN1046||DRC|Nord-Kivu|2018-12-12,MAN1046,EBOV,,2018-12-12,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN1095||DRC|Unknown|Unknown,MAN1095,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
EBOV|MAN112||DRC|Nord-Kivu|2018-08-21,MAN112,EBOV,,2018-08-21,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|MAN1152||DRC|Unknown|Unknown,MAN1152,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
EBOV|MAN1258||DRC|Unknown|Unknown,MAN1258,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
